index,model,pooling,probe,mean,median,count
3,InstaDeepAI/NTv3_650M_pre,mean,linear,0.6016036631151325,0.594718959356351,57
7,LongSafari/hyenadna-medium-160k-seqlen-hf,mean,linear,0.546350802722797,0.522184935592669,57
11,kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,mean,linear,0.5587381006832371,0.5407620555269818,57
13,zhihan1996/DNABERT-2-117M,attention,linear,0.42847232020049714,0.3989997975824238,57
