dataset,model,pooling,probe,feature_dim,n_train,n_test,n_classes,seed,cv_folds,tuning_candidates,selection_metric,cv_score,best_params,MCC,AUROC,F1,Accuracy,task_group
EMP/Yeast_H3K4me3,LongSafari/hyenadna-medium-160k-seqlen-hf,mean,linear,1536,25759,11040,2,42,4,4,roc_auc,0.7708958007957402,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.4012732329930435,0.7774044358948439,0.7004504814615246,0.7024456521739131,other
EMP/Yeast_H3K4me3,kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,mean,linear,1536,25759,11040,2,42,4,4,roc_auc,0.7708958007957402,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.4012732329930435,0.7774044358948439,0.7004504814615246,0.7024456521739131,other
EMP/Yeast_H3K4me3,zhihan1996/DNABERT-2-117M,mean,linear,768,25759,11040,2,42,4,4,roc_auc,0.6453962610913754,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.2116318976987249,0.6463619953000123,0.6046667298052766,0.6093297101449275,other
EMP/Yeast_H3K79me3,InstaDeepAI/NTv3_650M_pre,mean,linear,1536,20185,8652,2,42,4,4,roc_auc,0.8948313595699421,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.6571548256452987,0.8987679538150348,0.8285287528005975,0.8294036061026352,other
EMP/Yeast_H3K79me3,LongSafari/hyenadna-medium-160k-seqlen-hf,mean,linear,1536,20185,8652,2,42,4,4,roc_auc,0.8948174394688314,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.6562146434302754,0.8987685976574866,0.828052609486047,0.8289412852519649,other
EMP/Yeast_H3K79me3,kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,mean,linear,1536,20185,8652,2,42,4,4,roc_auc,0.8948174394688314,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.6562146434302754,0.8987685976574866,0.828052609486047,0.8289412852519649,other
EMP/Yeast_H3K79me3,zhihan1996/DNABERT-2-117M,attention,linear,768,20185,8652,2,42,4,4,roc_auc,0.8396977752767787,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.5483812474633079,0.842058257011176,0.7739943878915523,0.77542764678687,other
EMP/Yeast_H3K9ac,InstaDeepAI/NTv3_650M_pre,mean,linear,1536,19447,8335,2,42,4,4,roc_auc,0.8412823934714658,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.5400030386926877,0.8469622204414657,0.7699135293237178,0.7732453509298141,other
EMP/Yeast_H3K9ac,LongSafari/hyenadna-medium-160k-seqlen-hf,mean,linear,1536,19447,8335,2,42,4,4,roc_auc,0.8412756293759415,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.5407620555269818,0.8469509142565748,0.770298905870227,0.7736052789442112,other
EMP/Yeast_H3K9ac,kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,mean,linear,1536,19447,8335,2,42,4,4,roc_auc,0.8412756293759415,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.5407620555269818,0.8469509142565748,0.770298905870227,0.7736052789442112,other
EMP/Yeast_H3K9ac,zhihan1996/DNABERT-2-117M,attention,linear,768,19447,8335,2,42,4,4,roc_auc,0.7732224710419333,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.4096492189553353,0.7705117797042325,0.704764673877748,0.7089382123575285,other
EMP/Yeast_H4,InstaDeepAI/NTv3_650M_pre,mean,linear,1536,10220,4381,2,42,4,4,roc_auc,0.958656807003042,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.8260510781472872,0.9614976418081328,0.9129788394632016,0.913946587537092,other
EMP/Yeast_H4,LongSafari/hyenadna-medium-160k-seqlen-hf,mean,linear,1536,10220,4381,2,42,4,4,roc_auc,0.9586537041381048,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.8260510781472872,0.9614944755999332,0.9129788394632016,0.913946587537092,other
EMP/Yeast_H4,kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,mean,linear,1536,10220,4381,2,42,4,4,roc_auc,0.9586537041381048,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.8260510781472872,0.9614944755999332,0.9129788394632016,0.913946587537092,other
EMP/Yeast_H4,zhihan1996/DNABERT-2-117M,mean,linear,768,10220,4381,2,42,4,4,roc_auc,0.9226212196245036,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.7136912310421752,0.9232477359500566,0.8568433747672841,0.8587080575211139,other
EMP/Yeast_H4ac,InstaDeepAI/NTv3_650M_pre,mean_max,linear,3072,23866,10229,2,42,4,4,roc_auc,0.8109689821807149,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.5038312555377779,0.8267828950664067,0.7518427896713598,0.7538371297292012,other
