dataset,model,pooling,probe,feature_dim,n_train,n_test,n_classes,seed,cv_folds,tuning_candidates,selection_metric,cv_score,best_params,MCC,AUROC,F1,Accuracy
genomic_benchmark/enhancer_ensembl,kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,mean,linear,1536,123872,30970,2,42,4,4,roc_auc,0.8567755998458689,"{'clf__C': 1.0, 'clf__penalty': 'l2'}",0.5602388970996878,0.8565528026174257,0.7798361439510184,0.7799160477881821
genomic_benchmark/human_vs_worm,kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,mean,linear,1536,75000,25000,2,42,4,4,roc_auc,0.9940830520888888,"{'clf__C': 0.1, 'clf__penalty': 'l2'}",0.9291257561377148,0.994698016,0.964559890220716,0.96456
genomic_benchmark/open_chromatin_region,kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,mean,linear,1536,139804,34952,2,42,4,4,roc_auc,0.7660667775401605,"{'clf__C': 0.1, 'clf__penalty': 'l2'}",0.4018761252433399,0.7692693588973816,0.7003795492303478,0.7006179903868162
genomic_benchmark/promoter_notata_251bps,kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,mean,linear,1536,27097,9034,2,42,4,4,roc_auc,0.935663265547624,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.7441915128415922,0.938416691426007,0.8701595933453137,0.8703785698472437
genomic_benchmark/regulatory_region_type,kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,mean,linear,1536,150000,57713,3,42,4,4,accuracy,0.68432,"{'clf__C': 10.0, 'clf__penalty': 'l2'}",0.522184935592669,0.8501580704928103,0.6836751893451348,0.6830869994628593
iDHS-EL/DNase_I,kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,mean,linear,1536,711,306,2,42,4,4,roc_auc,0.8472904059879764,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.6718146718146718,0.8702273702273703,0.8359073359073359,0.869281045751634
iDNA_ABF/5mC,kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,mean,linear,1536,3281,1407,2,42,4,4,roc_auc,0.8119820926890059,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.5221555912725809,0.8355707681365576,0.7602270101181623,0.7604832977967306
iDNA_ABF/6mA,kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,mean,linear,1536,25668,11002,2,42,4,4,roc_auc,0.872917680965085,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.5791724864551627,0.8766676951631573,0.789582792463617,0.7895837120523541
iPro-WAEL/Promoter_Arabidopsis_NonTATA,kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,mean,linear,1536,8267,3543,2,42,4,4,roc_auc,0.9830980364152108,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.8833872511509416,0.9867892927565124,0.9415674886220486,0.9415749364944962
iPro-WAEL/Promoter_Arabidopsis_TATA,kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,mean,linear,1536,3063,1313,2,42,4,4,roc_auc,0.9764653551488838,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.8400992329267795,0.9736064711705024,0.9199972035740376,0.9276466108149276
iPro-WAEL/Promoter_B_amyloliquefaciens,kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,mean,linear,1536,1483,636,2,42,4,4,roc_auc,0.9130694989865024,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.6635252933375545,0.9124432621658772,0.8317605903657648,0.8317610062893082
iPro-WAEL/Promoter_GM12878,kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,mean,linear,256,10992,2750,2,42,4,4,roc_auc,0.9840867461634132,"{'clf__C': 0.1, 'clf__penalty': 'l2'}",0.8931194893718608,0.9851699834710744,0.9465445992590428,0.9465454545454546
iPro-WAEL/Promoter_HUVEC,kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,mean,linear,256,11928,2982,2,42,4,4,roc_auc,0.9896837991958009,"{'clf__C': 0.1, 'clf__penalty': 'l2'}",0.9142181993121092,0.9913556905933704,0.9570742240215924,0.9570757880617036
iPro-WAEL/Promoter_Hela-S3,kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,mean,linear,256,11736,2936,2,42,4,4,roc_auc,0.986016493741662,"{'clf__C': 0.1, 'clf__penalty': 'l2'}",0.9028451986113218,0.9879207841768816,0.9512873553856416,0.9512942779291552
iPro-WAEL/Promoter_NHEK,kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,mean,linear,256,8170,2044,2,42,4,4,roc_auc,0.9597854741439128,"{'clf__C': 1.0, 'clf__penalty': 'l2'}",0.8016496684559985,0.9599390703926532,0.9006675991876869,0.9006849315068494
iPro-WAEL/Promoter_R_capsulatus,kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,mean,linear,256,7406,3175,2,42,4,4,roc_auc,0.723921494489154,"{'clf__C': 0.1, 'clf__penalty': 'l2'}",0.324518971031358,0.7240645586872982,0.6620460371908824,0.6620472440944882
mouse/mouse_TFBS_1,kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,mean,linear,256,5668,2430,2,42,4,4,roc_auc,0.7554490091080778,"{'clf__C': 10.0, 'clf__penalty': 'l2'}",0.4065878049545832,0.7695662924012261,0.7032909248713985,0.7032921810699588
mouse/mouse_TFBS_2,kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,mean,linear,256,47209,20233,2,42,4,4,roc_auc,0.9512545123116048,"{'clf__C': 1.0, 'clf__penalty': 'l2'}",0.7561237674632177,0.9515131736852022,0.8775547229740484,0.8776256610487817
mouse/mouse_TFBS_3,kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,mean,linear,256,2293,983,2,42,4,4,roc_auc,0.919721775632373,"{'clf__C': 1.0, 'clf__penalty': 'l2'}",0.7009160867879454,0.9452751146656068,0.8504571632592868,0.8504577822990844
mouse/mouse_TFBS_4,kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,mean,linear,256,1667,715,2,42,4,4,roc_auc,0.7805209719430368,"{'clf__C': 1.0, 'clf__penalty': 'l2'}",0.4503720198631046,0.8028105096787319,0.7239896144613727,0.7244755244755244
mouse/mouse_TFBS_5,kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,mean,linear,256,13180,5650,2,42,4,4,roc_auc,0.7902307298943061,"{'clf__C': 1.0, 'clf__penalty': 'l2'}",0.4181239378439908,0.7850997885503954,0.7090018996362006,0.7090265486725664
prom/promoter_all_300bps,kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,mean,linear,256,41437,17759,2,42,4,4,roc_auc,0.9618776499037603,"{'clf__C': 10.0, 'clf__penalty': 'l2'}",0.8053968921219701,0.9609535392752816,0.9026970607335968,0.9026972239427896
prom/promoter_all_70bps,kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,mean,linear,256,41437,17759,2,42,4,4,roc_auc,0.8813104997024372,"{'clf__C': 1.0, 'clf__penalty': 'l2'}",0.5935064065611104,0.8806259823005796,0.7966363944044663,0.7966664789684104
prom/promoter_notata_300bps,kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,mean,linear,256,37146,15920,2,42,4,4,roc_auc,0.9901082633869092,"{'clf__C': 10.0, 'clf__penalty': 'l2'}",0.9171931604062836,0.9919070541147952,0.9585402787867946,0.9585427135678392
prom/promoter_notata_70bps,kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,mean,linear,256,37146,15920,2,42,4,4,roc_auc,0.907356792584963,"{'clf__C': 1.0, 'clf__penalty': 'l2'}",0.6481508139972136,0.905608097017752,0.824053006478536,0.8240577889447236
prom/promoter_tata_300bps,kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,mean,linear,256,4290,1840,2,42,4,4,roc_auc,0.8432810906447604,"{'clf__C': 1.0, 'clf__penalty': 'l2'}",0.5609027008074842,0.8545362712665406,0.7804282971496086,0.7804347826086957
prom/promoter_tata_70bps,kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,mean,linear,256,4290,1840,2,42,4,4,roc_auc,0.8341479288304268,"{'clf__C': 1.0, 'clf__penalty': 'l2'}",0.5286219847650584,0.8431988421550095,0.7640498705252621,0.7641304347826087
splice/acceptors,kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,mean,linear,256,15525,6654,2,42,4,4,roc_auc,0.8380292342856883,"{'clf__C': 10.0, 'clf__penalty': 'l2'}",0.4892936414971186,0.8269478325292279,0.7440058135806955,0.7443642921550947
splice/donors,kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,mean,linear,256,15381,6592,2,42,4,4,roc_auc,0.8255361790381881,"{'clf__C': 10.0, 'clf__penalty': 'l2'}",0.4995717216159657,0.8328232814168417,0.7487732405941534,0.7490898058252428
splice/splice_site_type_DNABERT,kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,mean,linear,256,31933,13687,3,42,4,4,accuracy,0.6265932764313544,"{'clf__C': 10.0, 'clf__penalty': 'l2'}",0.3201466196753186,0.7725210407763621,0.530896817723067,0.6270914005991086
splice/splice_site_type_NT,kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,mean,linear,256,20999,9001,3,42,4,4,accuracy,0.5793612751635232,"{'clf__C': 10.0, 'clf__penalty': 'l2'}",0.3960481218098267,0.7717188662830944,0.5960194961491608,0.5962670814353961
tf/Human_TFBS_1,kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,mean,linear,256,24064,10314,2,42,4,4,roc_auc,0.8733897107712766,"{'clf__C': 0.1, 'clf__penalty': 'l2'}",0.6035726609671166,0.8804815961286047,0.8011904180103723,0.8013379872018616
tf/Human_TFBS_2,kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,mean,linear,256,22870,9802,2,42,4,4,roc_auc,0.8630331007177864,"{'clf__C': 0.1, 'clf__penalty': 'l2'}",0.5599437654331829,0.8655735324368425,0.7792204068751629,0.7794327688226892
tf/Human_TFBS_3,kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,mean,linear,256,14699,6301,2,42,4,4,roc_auc,0.8206616019532522,"{'clf__C': 0.1, 'clf__penalty': 'l2'}",0.4827781116741501,0.8184282137693752,0.741027977910347,0.7411521980637994
tf/Human_TFBS_4,kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,mean,linear,256,20505,8789,2,42,4,4,roc_auc,0.7629413913174861,"{'clf__C': 0.1, 'clf__penalty': 'l2'}",0.3833578886887182,0.7689601033159811,0.6898010133493495,0.6906360223006031
tf/Human_TFBS_5,kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,mean,linear,256,14699,6301,2,42,4,4,roc_auc,0.8671283396193645,"{'clf__C': 0.1, 'clf__penalty': 'l2'}",0.5625491047950465,0.8639237732541444,0.7808774196930048,0.7809871448976353
virus/covid_variants,kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,mean,linear,256,64168,27501,9,42,4,4,accuracy,0.3254425882059593,"{'clf__C': 10.0, 'clf__penalty': 'l2'}",0.2413665302891995,0.7099007364507572,0.327326181500403,0.328315333987855
