dataset,ridge_k6_hyenadna-medium-160k-seqlen-hf_R2,ridge_k6_NTv3_650M_pre_R2,proj_k6_NTv3_650M_pre_MCC,proj_k6_NTv3_650M_pre_AUROC,resid_k6_NTv3_650M_pre_MCC,resid_k6_NTv3_650M_pre_AUROC,proj_k6_hyenadna-medium-160k-seqlen-hf_MCC,proj_k6_hyenadna-medium-160k-seqlen-hf_AUROC,resid_k6_hyenadna-medium-160k-seqlen-hf_MCC,resid_k6_hyenadna-medium-160k-seqlen-hf_AUROC,ridge_k6_DNABERT-2-117M_R2,proj_k6_DNABERT-2-117M_MCC,proj_k6_DNABERT-2-117M_AUROC,resid_k6_DNABERT-2-117M_MCC,resid_k6_DNABERT-2-117M_AUROC
prom/promoter_notata_70bps,0.7810558676719666,0.5373355150222778,,,,,,,,,,,,,
prom/promoter_tata_300bps,0.7469050884246826,0.3505945205688476,,,,,,,,,,,,,
prom/promoter_tata_70bps,0.7838557958602905,0.4806110858917236,,,,,,,,,,,,,
splice/acceptors,0.7661346793174744,0.5375951528549194,,,,,,,,,,,,,
splice/donors,0.7714531421661377,0.5341780185699463,,,,,,,,,,,,,
splice/splice_site_type_DNABERT,0.8034116625785828,0.5226407051086426,,,,,,,,,,,,,
splice/splice_site_type_NT,0.7731910347938538,0.4535203874111175,,,,,,,,,,,,,
tf/Human_TFBS_1,0.7984305620193481,0.5175875425338745,,,,,,,,,,,,,
tf/Human_TFBS_2,0.8016604781150818,0.5146544575691223,,,,,,,,,,,,,
tf/Human_TFBS_3,0.7973709106445312,0.4988459050655365,,,,,,,,,,,,,
tf/Human_TFBS_4,0.7946770191192627,0.5202347040176392,,,,,,,,,,,,,
tf/Human_TFBS_5,0.8086487650871277,0.5298661589622498,,,,,,,,,,,,,
virus/covid_variants,,0.9145329741589024,,,,,,,,,,,,,
