model,dataset,split,max_length,n_sequences,n_truncated,truncation_rate,mean_tokens,max_tokens,fraction_retained_mean
InstaDeepAI/NTv3_650M_pre,iDHS-EL/DNase_I,test,32768,306,0,0.0,242.58823529411765,275,1.0
InstaDeepAI/NTv3_650M_pre,iDNA_ABF/5mC,train,32768,3281,0,0.0,41.0,41,1.0
InstaDeepAI/NTv3_650M_pre,iDNA_ABF/5mC,test,32768,1407,0,0.0,41.0,41,1.0
InstaDeepAI/NTv3_650M_pre,iDNA_ABF/6mA,train,32768,25668,0,0.0,41.0,41,1.0
InstaDeepAI/NTv3_650M_pre,iDNA_ABF/6mA,test,32768,11002,0,0.0,41.0,41,1.0
InstaDeepAI/NTv3_650M_pre,iPro-WAEL/Promoter_Arabidopsis_NonTATA,train,32768,8267,0,0.0,251.0,251,1.0
InstaDeepAI/NTv3_650M_pre,iPro-WAEL/Promoter_Arabidopsis_NonTATA,test,32768,3543,0,0.0,251.0,251,1.0
InstaDeepAI/NTv3_650M_pre,iPro-WAEL/Promoter_Arabidopsis_TATA,train,32768,3063,0,0.0,251.0,251,1.0
InstaDeepAI/NTv3_650M_pre,iPro-WAEL/Promoter_Arabidopsis_TATA,test,32768,1313,0,0.0,251.0,251,1.0
InstaDeepAI/NTv3_650M_pre,iPro-WAEL/Promoter_B_amyloliquefaciens,train,32768,1483,0,0.0,40.0,40,1.0
InstaDeepAI/NTv3_650M_pre,iPro-WAEL/Promoter_B_amyloliquefaciens,test,32768,636,0,0.0,40.0,40,1.0
InstaDeepAI/NTv3_650M_pre,iPro-WAEL/Promoter_GM12878,train,32768,10992,0,0.0,1629.9743449781658,2999,1.0
InstaDeepAI/NTv3_650M_pre,iPro-WAEL/Promoter_GM12878,test,32768,2750,0,0.0,1594.8487272727273,2995,1.0
InstaDeepAI/NTv3_650M_pre,iPro-WAEL/Promoter_HUVEC,train,32768,11928,0,0.0,1320.6470489604292,2997,1.0
InstaDeepAI/NTv3_650M_pre,iPro-WAEL/Promoter_HUVEC,test,32768,2982,0,0.0,1333.448021462106,2993,1.0
InstaDeepAI/NTv3_650M_pre,iPro-WAEL/Promoter_Hela-S3,train,32768,11736,0,0.0,1165.105828220859,2999,1.0
InstaDeepAI/NTv3_650M_pre,iPro-WAEL/Promoter_Hela-S3,test,32768,2936,0,0.0,1165.366485013624,2998,1.0
InstaDeepAI/NTv3_650M_pre,iPro-WAEL/Promoter_NHEK,train,32768,8170,0,0.0,499.2900856793146,2400,1.0
InstaDeepAI/NTv3_650M_pre,iPro-WAEL/Promoter_NHEK,test,32768,2044,0,0.0,502.3483365949119,1800,1.0
InstaDeepAI/NTv3_650M_pre,iPro-WAEL/Promoter_R_capsulatus,train,32768,7406,0,0.0,40.0,40,1.0
InstaDeepAI/NTv3_650M_pre,iPro-WAEL/Promoter_R_capsulatus,test,32768,3175,0,0.0,40.0,40,1.0
InstaDeepAI/NTv3_650M_pre,mouse/mouse_TFBS_1,train,32768,5668,0,0.0,101.0,101,1.0
InstaDeepAI/NTv3_650M_pre,mouse/mouse_TFBS_1,test,32768,2430,0,0.0,101.0,101,1.0
InstaDeepAI/NTv3_650M_pre,mouse/mouse_TFBS_2,train,32768,47209,0,0.0,101.0,101,1.0
InstaDeepAI/NTv3_650M_pre,mouse/mouse_TFBS_2,test,32768,20233,0,0.0,101.0,101,1.0
InstaDeepAI/NTv3_650M_pre,mouse/mouse_TFBS_3,train,32768,2293,0,0.0,101.0,101,1.0
InstaDeepAI/NTv3_650M_pre,mouse/mouse_TFBS_3,test,32768,983,0,0.0,101.0,101,1.0
InstaDeepAI/NTv3_650M_pre,mouse/mouse_TFBS_4,train,32768,1667,0,0.0,101.0,101,1.0
InstaDeepAI/NTv3_650M_pre,mouse/mouse_TFBS_4,test,32768,715,0,0.0,101.0,101,1.0
