dataset,ckmer_lp_k4_MCC,ckmer_lp_k4_AUROC,ckmer_lp_k4_F1,ckmer_lp_k4_Accuracy,ckmer_lp_k5_MCC,ckmer_lp_k5_AUROC,ckmer_lp_k5_F1,ckmer_lp_k5_Accuracy,ckmer_lp_k6_MCC,ckmer_lp_k6_AUROC,ckmer_lp_k6_F1,ckmer_lp_k6_Accuracy,ckmer_k4_MCC,ckmer_k4_AUROC,ckmer_k4_F1,ckmer_k4_Accuracy,ckmer_k5_MCC,ckmer_k5_AUROC,ckmer_k5_F1,ckmer_k5_Accuracy,ckmer_k6_MCC,ckmer_k6_AUROC,ckmer_k6_F1,ckmer_k6_Accuracy
prom/promoter_notata_300bps,0.8260543656743885,0.972329691800712,0.9129999143659244,0.913002512562814,0.8456203716538024,0.9783471534809728,0.922800715278104,0.9228015075376884,0.866466646985296,0.9827263358248528,0.9332282825462062,0.9332286432160803,0.8693264066612152,0.9825369545592284,0.9336601057768908,0.9337311557788944,0.8607180783058878,0.9810284620337872,0.9285691105931992,0.9287060301507538,0.8076398452963148,0.9661805730915888,0.9023547563042214,0.9025125628140704
prom/promoter_notata_70bps,0.5890822631088348,0.8745550301760057,0.7944483684145096,0.7944723618090452,0.5962931972227249,0.8799925664755941,0.7979368808179352,0.7979899497487437,0.5930596116148567,0.8807161593141588,0.7963817667996738,0.7964195979899498,0.6340406381331877,0.8977979091437084,0.8164563810127745,0.8165829145728644,0.5746262018632758,0.8728900627509406,0.7868804958227986,0.7869974874371859,0.4832842166060622,0.8228280378020757,0.7409725147568151,0.7412060301507538
prom/promoter_all_300bps,0.7441455170413608,0.9363232876135512,0.8720634564298275,0.8720648685173715,0.7612479005463795,0.943978053540645,0.8806239055972719,0.8806239090038853,0.7737489315178325,0.950163630095914,0.8868742379816792,0.8868742609381158,0.7807967806944033,0.9519581264731336,0.8902964493558814,0.8903091390280984,0.7623706536152697,0.9485440834178022,0.8807311136026075,0.8807928374345403,0.7163452041434084,0.9328548977798612,0.8574776293086153,0.8575933329579368
prom/promoter_all_70bps,0.5478184940114248,0.8557398632160712,0.773841617964494,0.7738611408300017,0.5600791567110867,0.8611920436316483,0.7799831773622252,0.7799988738104623,0.5593817450310529,0.862014056093485,0.7795711862706136,0.7796047074722676,0.585993788525352,0.8749130134470544,0.7921698409698914,0.7923869587251534,0.5408394050270497,0.85330241337745,0.7697859261680637,0.7699757869249395,0.4636248804637419,0.8067774618012538,0.7308983563253266,0.7312348668280871
mouse/mouse_TFBS_2,0.6259269333828097,0.8909247763992448,0.8128547025114863,0.8128799485988237,0.6936303272123825,0.924643728479596,0.8467177366229643,0.8467355310631147,0.7221836083818266,0.9390383403854616,0.8610639845947352,0.8610685513764642,0.6543759014095119,0.90856473135411,0.8262183131845111,0.8264221815845401,0.6992926585360887,0.9301448165205726,0.8491716312654144,0.8492561656699451,0.6975779326238865,0.930931695446393,0.8486355183789993,0.8486630751742203
splice/splice_site_type_DNABERT,0.0563652399944546,0.6352684643027292,0.2953271020016795,0.5539563089062615,0.1234281016964223,0.6622262887489495,0.3542467674726965,0.5592898370716739,0.1971046892107751,0.6787765157706174,0.4227611382214091,0.5728063125593629,0.2293942039467124,0.7612388629077927,0.3657474955492651,0.6004237597720464,0.2245875256144191,0.7723601908335372,0.3570487537968354,0.5979396507634982,0.2196952979189503,0.7782115319790757,0.342437970128386,0.594651859428655
deep4mc/G.subterraneus_4mC,0.0072447134811929,0.6442853813687996,0.4553564389071113,0.8331314466101384,0.0375493192690891,0.6627626838503169,0.4628670014731511,0.8325808464559703,0.0721132659697969,0.6626419571168087,0.4830216665195623,0.8305986859009654,0.0076646355823067,0.6079518882113233,0.4547692623135534,0.8333516866718056,0.0,0.6426161779547077,0.4545509149881872,0.8333516866718056,0.0,0.6462186584435172,0.4545509149881872,0.8333516866718056
genomic_benchmark/human_vs_worm,0.881025139063447,0.9849520192,0.940477799678534,0.94048,0.90548747486628,0.9904228096,0.9527187605506766,0.95272,0.9178815949305132,0.9924514304,0.9589190692047024,0.95892,0.8937702962931202,0.9883996992,0.9468796940270376,0.94688,0.8787417761940266,0.9852153344,0.9393592486368344,0.93936,0.8306933894984189,0.9745554624000002,0.9152731979967724,0.91528
genomic_benchmark/coding,0.7204810195204836,0.93538688,0.8600010491558987,0.86004,0.7570772652085566,0.9486697216,0.8784705887623938,0.87848,0.7724974425711771,0.954387936,0.8862387156806046,0.88624,0.730791602787373,0.94184416,0.8651164917597685,0.86516,0.71275186739442,0.9362569984,0.8559240486909865,0.856,0.6576154800729292,0.9186162624,0.8287475687175122,0.82876
deep4mc/C.elegans_4mC,0.1804506981280204,0.6267440220252919,0.5902233491360909,0.5902247376229464,0.2179373544244507,0.65091683287586,0.6089501055826501,0.6089620308808176,0.2461654635307546,0.6696871269826563,0.6229460529855919,0.6230287378427386,0.1721093787770185,0.622331775311827,0.5860342400328744,0.586048683993626,0.2054176793525713,0.6432167867643444,0.602676889361897,0.6026979504368372,0.2164873327807309,0.6481058353589579,0.6050844140587452,0.6071212703994725
deep4mc/D.melanogaster_4mC,0.1947123874956951,0.638526400784303,0.5972596406278028,0.5973247232472325,0.2207265397869923,0.6557207145872196,0.6102770822415206,0.6103321033210332,0.2416681602253477,0.6649613594586129,0.6206820546248719,0.6207749077490775,0.1959734724924677,0.6353039787039936,0.5976555802796436,0.5978782287822878,0.2023298753823512,0.6441766520063724,0.6010476371330086,0.6011254612546125,0.1973283711797405,0.6411468233003363,0.5947039295813945,0.5973616236162361
genomic_benchmark/enhancer_ensembl,0.4700071187996967,0.8024426525862884,0.7350005178770453,0.7350016144656119,0.5415645038867914,0.8432093011568998,0.7707764457336982,0.7707781724249273,0.5919349901651607,0.8677305784791368,0.7959625746979462,0.7959638359702939,0.7034551013898789,0.937817711662593,0.8497690006239191,0.8501130125928318,0.6991493335607526,0.9352847490916087,0.8477537409240585,0.8480787859218598,0.6567986443533922,0.9095402208372096,0.8267462342340193,0.8270907329673878
genomic_benchmark/open_chromatin_region,0.3098535544789706,0.7099258376697473,0.6549267338150935,0.6549267566948959,0.3726281355741602,0.7493399049808938,0.6863114700260391,0.6863126573586633,0.4205769672948821,0.7807641671190849,0.7102883348036166,0.7102883955138476,0.3570255797559795,0.7438954013170782,0.6763135164196431,0.6773575188830396,0.3624866484994151,0.7498577619656499,0.6783971076734703,0.679732204165713,0.3717074541696192,0.757137804553304,0.6830517995950094,0.6843385214007782
virus/covid_variants,0.2111574063532635,0.6807141596947248,0.2975934825008128,0.3018435693247518,0.4918690442173938,0.859039977966837,0.5535709376655764,0.5498709137849532,0.6535189204342554,0.942224900319286,0.695221286422411,0.6929929820733791,0.609934311428809,0.9162045736396348,0.6564237905043926,0.6537216828478964,0.6653490053593586,0.9410823527220328,0.7066399811206239,0.7032107923348242,0.6724719595681586,0.9453375989798288,0.7140939618433433,0.7090651249045489
deep4mc/A.thaliana_4mC,0.182771597880226,0.626121503933486,0.5909174141263688,0.5912414193606028,0.1948311345386399,0.6346123988475469,0.5969744346175041,0.5972720639695043,0.199723629955893,0.6377179778811799,0.599551468708726,0.5997587742156439,0.1849552295189628,0.6254605153325135,0.5917145960865126,0.5922390815551618,0.1871042351673425,0.6292205331689663,0.5932119948472683,0.5934452104769421,0.1765766280778654,0.6264371656240462,0.5775773290687951,0.5850916509075748
genomic_benchmark/regulatory_region_type,0.4153561029095061,0.7965177990657293,0.6045805419260428,0.6118725417150382,0.4403243818600382,0.8102378077407698,0.6241379082512225,0.6286971739469444,0.4602873732932787,0.8218962306052027,0.6405876150360353,0.6421256909188571,0.8327279402702871,0.970698605423036,0.8868488987069049,0.8880494862509314,0.8324377583441628,0.9716887762597692,0.8866654359210634,0.8875296726907282,0.7962539857626076,0.9607703892740947,0.8635753734869512,0.8629251641744494
