dataset,group,RF_MCC,LP_MCC,model,RF_col,LP_col,delta_MCC,RF_wins,LP_wins,tie
deep4mc/E.coli_4mC,deep4mc,-0.0103692386576493,-0.0073311733990885,DNABERT-2,fm_DNABERT-2-117M_MCC,lp_fm_DNABERT-2-117M_MCC,-0.0030380652585608008,False,True,False
deep4mc/G.pickeringii_4mC,deep4mc,-0.0062292904365417,0.0117818538577033,DNABERT-2,fm_DNABERT-2-117M_MCC,lp_fm_DNABERT-2-117M_MCC,-0.018011144294245,False,True,False
deep4mc/G.subterraneus_4mC,deep4mc,-0.0054190195484109,-0.0027093605789716,DNABERT-2,fm_DNABERT-2-117M_MCC,lp_fm_DNABERT-2-117M_MCC,-0.0027096589694393,False,True,False
enhancers/enhancer,enhancers,0.5131137862772546,0.4459430518499069,DNABERT-2,fm_DNABERT-2-117M_MCC,lp_fm_DNABERT-2-117M_MCC,0.06717073442734767,True,False,False
enhancers/enhancer_strength,enhancers,0.5073422963483419,0.2541672097794434,DNABERT-2,fm_DNABERT-2-117M_MCC,lp_fm_DNABERT-2-117M_MCC,0.25317508656889853,True,False,False
genomic_benchmark/coding,genomic_benchmark,0.700102106231775,0.7415266654648479,DNABERT-2,fm_DNABERT-2-117M_MCC,lp_fm_DNABERT-2-117M_MCC,-0.041424559233072866,False,True,False
genomic_benchmark/enhancer_cohn,genomic_benchmark,0.4755899861832298,0.4557089298484659,DNABERT-2,fm_DNABERT-2-117M_MCC,lp_fm_DNABERT-2-117M_MCC,0.01988105633476389,True,False,False
genomic_benchmark/enhancer_ensembl,genomic_benchmark,0.5043217964670981,0.444732552578991,DNABERT-2,fm_DNABERT-2-117M_MCC,lp_fm_DNABERT-2-117M_MCC,0.059589243888107046,True,False,False
genomic_benchmark/human_vs_worm,genomic_benchmark,0.8463505201888939,0.8447259712200501,DNABERT-2,fm_DNABERT-2-117M_MCC,lp_fm_DNABERT-2-117M_MCC,0.0016245489688437864,True,False,False
genomic_benchmark/open_chromatin_region,genomic_benchmark,0.3120404050672563,0.3064610353000042,DNABERT-2,fm_DNABERT-2-117M_MCC,lp_fm_DNABERT-2-117M_MCC,0.005579369767252096,True,False,False
genomic_benchmark/promoter_notata_251bps,genomic_benchmark,0.6996026325723033,0.634508056797744,DNABERT-2,fm_DNABERT-2-117M_MCC,lp_fm_DNABERT-2-117M_MCC,0.06509457577455924,True,False,False
genomic_benchmark/regulatory_region_type,genomic_benchmark,0.4640878509152559,0.4762008690725452,DNABERT-2,fm_DNABERT-2-117M_MCC,lp_fm_DNABERT-2-117M_MCC,-0.012113018157289324,False,True,False
iDHS-EL/DNase_I,iDHS-EL,0.5232173000558866,0.5813184104508101,DNABERT-2,fm_DNABERT-2-117M_MCC,lp_fm_DNABERT-2-117M_MCC,-0.058101110394923494,False,True,False
iDNA_ABF/5mC,iDNA_ABF,0.237676803752389,0.1883428368353791,DNABERT-2,fm_DNABERT-2-117M_MCC,lp_fm_DNABERT-2-117M_MCC,0.04933396691700989,True,False,False
iDNA_ABF/6mA,iDNA_ABF,0.3040954952494629,0.2983804003879698,DNABERT-2,fm_DNABERT-2-117M_MCC,lp_fm_DNABERT-2-117M_MCC,0.005715094861493075,True,False,False
iPro-WAEL/Promoter_Arabidopsis_NonTATA,iPro-WAEL,0.6711812108148592,0.7669543090201769,DNABERT-2,fm_DNABERT-2-117M_MCC,lp_fm_DNABERT-2-117M_MCC,-0.09577309820531776,False,True,False
iPro-WAEL/Promoter_Arabidopsis_TATA,iPro-WAEL,0.631186051005197,0.7469540320046262,DNABERT-2,fm_DNABERT-2-117M_MCC,lp_fm_DNABERT-2-117M_MCC,-0.1157679809994292,False,True,False
iPro-WAEL/Promoter_B_amyloliquefaciens,iPro-WAEL,0.4748347285718927,0.3899508519327947,DNABERT-2,fm_DNABERT-2-117M_MCC,lp_fm_DNABERT-2-117M_MCC,0.08488387663909797,True,False,False
iPro-WAEL/Promoter_GM12878,iPro-WAEL,0.8699196448098527,0.878668389579287,DNABERT-2,fm_DNABERT-2-117M_MCC,lp_fm_DNABERT-2-117M_MCC,-0.008748744769434214,False,True,False
iPro-WAEL/Promoter_HUVEC,iPro-WAEL,0.8894610570282147,0.9008358283559584,DNABERT-2,fm_DNABERT-2-117M_MCC,lp_fm_DNABERT-2-117M_MCC,-0.011374771327743782,False,True,False
iPro-WAEL/Promoter_Hela-S3,iPro-WAEL,0.8740368100557829,0.884262660618037,DNABERT-2,fm_DNABERT-2-117M_MCC,lp_fm_DNABERT-2-117M_MCC,-0.010225850562254113,False,True,False
iPro-WAEL/Promoter_NHEK,iPro-WAEL,0.7134850950841,0.729005045632756,DNABERT-2,fm_DNABERT-2-117M_MCC,lp_fm_DNABERT-2-117M_MCC,-0.01551995054865607,False,True,False
iPro-WAEL/Promoter_R_capsulatus,iPro-WAEL,0.2148998215564245,0.1499581436716644,DNABERT-2,fm_DNABERT-2-117M_MCC,lp_fm_DNABERT-2-117M_MCC,0.0649416778847601,True,False,False
mouse/mouse_TFBS_1,mouse,0.2041656438326814,0.2485637960768441,DNABERT-2,fm_DNABERT-2-117M_MCC,lp_fm_DNABERT-2-117M_MCC,-0.044398152244162686,False,True,False
mouse/mouse_TFBS_2,mouse,0.5415465352722932,0.5447422527820119,DNABERT-2,fm_DNABERT-2-117M_MCC,lp_fm_DNABERT-2-117M_MCC,-0.0031957175097186985,False,True,False
mouse/mouse_TFBS_3,mouse,0.5572455569174114,0.5646128121015187,DNABERT-2,fm_DNABERT-2-117M_MCC,lp_fm_DNABERT-2-117M_MCC,-0.007367255184107302,False,True,False
mouse/mouse_TFBS_4,mouse,0.2285882879074884,0.3174811824171009,DNABERT-2,fm_DNABERT-2-117M_MCC,lp_fm_DNABERT-2-117M_MCC,-0.08889289450961249,False,True,False
mouse/mouse_TFBS_5,mouse,0.1773996016300258,0.1964840107207897,DNABERT-2,fm_DNABERT-2-117M_MCC,lp_fm_DNABERT-2-117M_MCC,-0.019084409090763893,False,True,False
prom/promoter_all_300bps,prom,0.724131161640061,0.7589006337748562,DNABERT-2,fm_DNABERT-2-117M_MCC,lp_fm_DNABERT-2-117M_MCC,-0.0347694721347952,False,True,False
prom/promoter_all_70bps,prom,0.4819187746957705,0.4952429957629435,DNABERT-2,fm_DNABERT-2-117M_MCC,lp_fm_DNABERT-2-117M_MCC,-0.013324221067173014,False,True,False
prom/promoter_notata_300bps,prom,0.8064568776782168,0.8552389837087698,DNABERT-2,fm_DNABERT-2-117M_MCC,lp_fm_DNABERT-2-117M_MCC,-0.048782106030552996,False,True,False
prom/promoter_notata_70bps,prom,0.5110201490059794,0.5378321513215261,DNABERT-2,fm_DNABERT-2-117M_MCC,lp_fm_DNABERT-2-117M_MCC,-0.0268120023155467,False,True,False
prom/promoter_tata_300bps,prom,0.3340275161418543,0.353893836883606,DNABERT-2,fm_DNABERT-2-117M_MCC,lp_fm_DNABERT-2-117M_MCC,-0.01986632074175171,False,True,False
prom/promoter_tata_70bps,prom,0.3609924190815959,0.3402417123810703,DNABERT-2,fm_DNABERT-2-117M_MCC,lp_fm_DNABERT-2-117M_MCC,0.02075070670052559,True,False,False
splice/acceptors,splice,0.4017862648181348,0.3917917223583668,DNABERT-2,fm_DNABERT-2-117M_MCC,lp_fm_DNABERT-2-117M_MCC,0.009994542459767997,True,False,False
splice/donors,splice,0.3989118269643137,0.3838621328139385,DNABERT-2,fm_DNABERT-2-117M_MCC,lp_fm_DNABERT-2-117M_MCC,0.015049694150375215,True,False,False
splice/splice_site_type_DNABERT,splice,0.1690975892708722,0.1334171972913116,DNABERT-2,fm_DNABERT-2-117M_MCC,lp_fm_DNABERT-2-117M_MCC,0.035680391979560605,True,False,False
splice/splice_site_type_NT,splice,0.2234742227482256,0.1857541818514297,DNABERT-2,fm_DNABERT-2-117M_MCC,lp_fm_DNABERT-2-117M_MCC,0.0377200408967959,True,False,False
tf/Human_TFBS_1,tf,0.466202962157214,0.4537522582789242,DNABERT-2,fm_DNABERT-2-117M_MCC,lp_fm_DNABERT-2-117M_MCC,0.012450703878289837,True,False,False
tf/Human_TFBS_2,tf,0.4324018229225532,0.4287053000602626,DNABERT-2,fm_DNABERT-2-117M_MCC,lp_fm_DNABERT-2-117M_MCC,0.0036965228622906077,True,False,False
tf/Human_TFBS_3,tf,0.37344257214772,0.3813855185246218,DNABERT-2,fm_DNABERT-2-117M_MCC,lp_fm_DNABERT-2-117M_MCC,-0.00794294637690185,False,True,False
tf/Human_TFBS_4,tf,0.2322743372295551,0.2653207725612751,DNABERT-2,fm_DNABERT-2-117M_MCC,lp_fm_DNABERT-2-117M_MCC,-0.033046435331720025,False,True,False
tf/Human_TFBS_5,tf,0.5455120156696912,0.45411346595215,DNABERT-2,fm_DNABERT-2-117M_MCC,lp_fm_DNABERT-2-117M_MCC,0.09139854971754119,True,False,False
virus/covid_variants,virus,0.3872960777143199,0.3925083808211918,DNABERT-2,fm_DNABERT-2-117M_MCC,lp_fm_DNABERT-2-117M_MCC,-0.0052123031068719294,False,True,False
EMP/Yeast_H3,EMP,0.7053553294172704,0.7200697720275139,Caduceus,fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_MCC,lp_fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_MCC,-0.014714442610243461,False,True,False
EMP/Yeast_H3K14ac,EMP,0.3356723792761696,0.3587887055263861,Caduceus,fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_MCC,lp_fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_MCC,-0.02311632625021648,False,True,False
EMP/Yeast_H3K36me3,EMP,0.384159793442406,0.4296888694167441,Caduceus,fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_MCC,lp_fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_MCC,-0.04552907597433814,False,True,False
EMP/Yeast_H3K4me1,EMP,0.3187117820505836,0.3374964511058785,Caduceus,fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_MCC,lp_fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_MCC,-0.01878466905529491,False,True,False
EMP/Yeast_H3K4me2,EMP,0.2678502119641485,0.2848220284238703,Caduceus,fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_MCC,lp_fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_MCC,-0.01697181645972179,False,True,False
EMP/Yeast_H3K4me3,EMP,0.2170525066261925,0.240052443256905,Caduceus,fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_MCC,lp_fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_MCC,-0.02299993663071251,False,True,False
EMP/Yeast_H3K79me3,EMP,0.5253714153434994,0.5624996630488802,Caduceus,fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_MCC,lp_fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_MCC,-0.03712824770538081,False,True,False
EMP/Yeast_H3K9ac,EMP,0.4108456892047611,0.4562939877333086,Caduceus,fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_MCC,lp_fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_MCC,-0.04544829852854748,False,True,False
EMP/Yeast_H4,EMP,0.7415879967344662,0.7587613552380338,Caduceus,fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_MCC,lp_fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_MCC,-0.017173358503567604,False,True,False
EMP/Yeast_H4ac,EMP,0.3234820660926668,0.3566677418391889,Caduceus,fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_MCC,lp_fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_MCC,-0.03318567574652215,False,True,False
deep4mc/A.thaliana_4mC,deep4mc,0.1629582577088475,0.2201559449279654,Caduceus,fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_MCC,lp_fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_MCC,-0.05719768721911789,False,True,False
deep4mc/C.elegans_4mC,deep4mc,0.1339690451332925,0.2154442532846267,Caduceus,fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_MCC,lp_fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_MCC,-0.08147520815133422,False,True,False
deep4mc/D.melanogaster_4mC,deep4mc,0.1662047179016913,0.245325471240284,Caduceus,fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_MCC,lp_fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_MCC,-0.0791207533385927,False,True,False
deep4mc/E.coli_4mC,deep4mc,0.0305181830558823,0.1632333559675195,Caduceus,fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_MCC,lp_fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_MCC,-0.1327151729116372,False,True,False
deep4mc/G.pickeringii_4mC,deep4mc,0.0848572038437871,0.1151538862552386,Caduceus,fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_MCC,lp_fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_MCC,-0.030296682411451503,False,True,False
deep4mc/G.subterraneus_4mC,deep4mc,0.0216930019155861,0.0382653651100408,Caduceus,fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_MCC,lp_fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_MCC,-0.0165723631944547,False,True,False
enhancers/enhancer,enhancers,0.6104885863818946,0.4552789438057995,Caduceus,fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_MCC,lp_fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_MCC,0.15520964257609515,True,False,False
enhancers/enhancer_strength,enhancers,0.5668896465072408,0.3381138795935506,Caduceus,fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_MCC,lp_fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_MCC,0.22877576691369023,True,False,False
genomic_benchmark/coding,genomic_benchmark,0.8214980716195812,0.8408,Caduceus,fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_MCC,lp_fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_MCC,-0.019301928380418776,False,True,False
genomic_benchmark/enhancer_cohn,genomic_benchmark,0.4730902288517706,0.5001104256473493,Caduceus,fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_MCC,lp_fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_MCC,-0.02702019679557871,False,True,False
genomic_benchmark/enhancer_ensembl,genomic_benchmark,0.5985428687938499,0.4815341845343782,Caduceus,fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_MCC,lp_fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_MCC,0.1170086842594717,True,False,False
genomic_benchmark/human_vs_worm,genomic_benchmark,0.8830427774476914,0.9190447055209384,Caduceus,fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_MCC,lp_fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_MCC,-0.03600192807324698,False,True,False
genomic_benchmark/open_chromatin_region,genomic_benchmark,0.3710648892507343,0.3462327516601837,Caduceus,fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_MCC,lp_fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_MCC,0.024832137590550585,True,False,False
genomic_benchmark/promoter_notata_251bps,genomic_benchmark,0.74795541965645,0.7051158641081641,Caduceus,fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_MCC,lp_fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_MCC,0.04283955554828589,True,False,False
genomic_benchmark/regulatory_region_type,genomic_benchmark,0.4401026542856415,0.4002147414832234,Caduceus,fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_MCC,lp_fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_MCC,0.0398879128024181,True,False,False
iDHS-EL/DNase_I,iDHS-EL,0.6558064240041873,0.6434399485175759,Caduceus,fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_MCC,lp_fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_MCC,0.012366475486611406,True,False,False
iDNA_ABF/5mC,iDNA_ABF,0.3636903056858056,0.4613365315140484,Caduceus,fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_MCC,lp_fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_MCC,-0.09764622582824278,False,True,False
iDNA_ABF/6mA,iDNA_ABF,0.408510889759838,0.4694616595906106,Caduceus,fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_MCC,lp_fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_MCC,-0.06095076983077258,False,True,False
iPro-WAEL/Promoter_Arabidopsis_NonTATA,iPro-WAEL,0.768127712709173,0.8487703415980364,Caduceus,fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_MCC,lp_fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_MCC,-0.08064262888886342,False,True,False
iPro-WAEL/Promoter_Arabidopsis_TATA,iPro-WAEL,0.7554175800163849,0.8197713321732234,Caduceus,fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_MCC,lp_fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_MCC,-0.06435375215683847,False,True,False
iPro-WAEL/Promoter_B_amyloliquefaciens,iPro-WAEL,0.550317186417403,0.6132195377619192,Caduceus,fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_MCC,lp_fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_MCC,-0.06290235134451616,False,True,False
iPro-WAEL/Promoter_GM12878,iPro-WAEL,0.8930968138827523,0.8923976218722784,Caduceus,fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_MCC,lp_fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_MCC,0.0006991920104738591,True,False,False
iPro-WAEL/Promoter_HUVEC,iPro-WAEL,0.9088678198146396,0.9108884745407346,Caduceus,fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_MCC,lp_fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_MCC,-0.002020654726095028,False,True,False
iPro-WAEL/Promoter_Hela-S3,iPro-WAEL,0.8986767341998281,0.9075220419827236,Caduceus,fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_MCC,lp_fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_MCC,-0.008845307782895495,False,True,False
iPro-WAEL/Promoter_NHEK,iPro-WAEL,0.7779165686483155,0.8025343000034281,Caduceus,fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_MCC,lp_fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_MCC,-0.024617731355112582,False,True,False
iPro-WAEL/Promoter_R_capsulatus,iPro-WAEL,0.2554711031630114,0.3237928011364656,Caduceus,fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_MCC,lp_fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_MCC,-0.06832169797345417,False,True,False
mouse/mouse_TFBS_1,mouse,0.1518668828552772,0.409067353360131,Caduceus,fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_MCC,lp_fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_MCC,-0.25720047050485384,False,True,False
mouse/mouse_TFBS_2,mouse,0.7305314057190672,0.75378732790185,Caduceus,fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_MCC,lp_fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_MCC,-0.02325592218278283,False,True,False
mouse/mouse_TFBS_3,mouse,0.5993086573690988,0.7050602176915629,Caduceus,fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_MCC,lp_fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_MCC,-0.10575156032246413,False,True,False
mouse/mouse_TFBS_4,mouse,0.1295408741870012,0.4613998389878886,Caduceus,fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_MCC,lp_fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_MCC,-0.3318589648008874,False,True,False
mouse/mouse_TFBS_5,mouse,0.2337542099566101,0.4092509514507837,Caduceus,fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_MCC,lp_fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_MCC,-0.17549674149417363,False,True,False
prom/promoter_all_300bps,prom,0.7737215882864958,0.8015666839810688,Caduceus,fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_MCC,lp_fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_MCC,-0.02784509569457294,False,True,False
prom/promoter_all_70bps,prom,0.5766995022083391,0.5913276418070701,Caduceus,fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_MCC,lp_fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_MCC,-0.014628139598730994,False,True,False
prom/promoter_notata_300bps,prom,0.8571619414188787,0.9128399065951428,Caduceus,fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_MCC,lp_fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_MCC,-0.05567796517626411,False,True,False
prom/promoter_notata_70bps,prom,0.6220056628757475,0.6447705110123476,Caduceus,fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_MCC,lp_fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_MCC,-0.02276484813660007,False,True,False
prom/promoter_tata_300bps,prom,0.4576695312434952,0.5587167760808406,Caduceus,fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_MCC,lp_fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_MCC,-0.1010472448373454,False,True,False
prom/promoter_tata_70bps,prom,0.4521483255351493,0.5243605268322565,Caduceus,fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_MCC,lp_fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_MCC,-0.07221220129710726,False,True,False
splice/acceptors,splice,0.5401608619815155,0.4890924663598118,Caduceus,fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_MCC,lp_fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_MCC,0.05106839562170368,True,False,False
splice/donors,splice,0.5416119904417952,0.5009056048383085,Caduceus,fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_MCC,lp_fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_MCC,0.04070638560348672,True,False,False
splice/splice_site_type_DNABERT,splice,0.3255293489044651,0.3099864733278936,Caduceus,fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_MCC,lp_fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_MCC,0.015542875576571524,True,False,False
splice/splice_site_type_NT,splice,0.3281220149596919,0.387542196138294,Caduceus,fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_MCC,lp_fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_MCC,-0.059420181178602094,False,True,False
tf/Human_TFBS_1,tf,0.590124099743791,0.6035726609671166,Caduceus,fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_MCC,lp_fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_MCC,-0.013448561223325606,False,True,False
tf/Human_TFBS_2,tf,0.5450953640090047,0.5580272910415491,Caduceus,fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_MCC,lp_fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_MCC,-0.012931927032544421,False,True,False
tf/Human_TFBS_3,tf,0.4794096617659301,0.4777643538638958,Caduceus,fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_MCC,lp_fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_MCC,0.0016453079020342654,True,False,False
tf/Human_TFBS_4,tf,0.3822886488177249,0.383486820953704,Caduceus,fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_MCC,lp_fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_MCC,-0.0011981721359791142,False,True,False
tf/Human_TFBS_5,tf,0.67882023281151,0.5605501100357803,Caduceus,fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_MCC,lp_fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_MCC,0.11827012277572979,True,False,False
virus/covid_variants,virus,0.507862678152721,0.1907638317326482,Caduceus,fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_MCC,lp_fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_MCC,0.3170988464200728,True,False,False
EMP/Yeast_H3,EMP,0.5309273031668712,0.5164147296437951,Evo2,fm_evo2_1b_base_MCC,lp_fm_evo2_1b_base_MCC,0.014512573523076111,True,False,False
EMP/Yeast_H3K14ac,EMP,0.1082184107874969,0.1244944532421796,Evo2,fm_evo2_1b_base_MCC,lp_fm_evo2_1b_base_MCC,-0.0162760424546827,False,True,False
EMP/Yeast_H3K36me3,EMP,0.1351633916453983,0.1369380844485753,Evo2,fm_evo2_1b_base_MCC,lp_fm_evo2_1b_base_MCC,-0.0017746928031769915,False,True,False
EMP/Yeast_H3K4me1,EMP,0.124919729079114,0.1234397282938941,Evo2,fm_evo2_1b_base_MCC,lp_fm_evo2_1b_base_MCC,0.0014800007852198982,True,False,False
EMP/Yeast_H3K4me2,EMP,0.2090752932930646,0.2414710033984236,Evo2,fm_evo2_1b_base_MCC,lp_fm_evo2_1b_base_MCC,-0.032395710105358994,False,True,False
EMP/Yeast_H3K4me3,EMP,0.082432739237597,0.1274768841054105,Evo2,fm_evo2_1b_base_MCC,lp_fm_evo2_1b_base_MCC,-0.045044144867813496,False,True,False
EMP/Yeast_H3K79me3,EMP,0.2580090597981654,0.221292440021645,Evo2,fm_evo2_1b_base_MCC,lp_fm_evo2_1b_base_MCC,0.03671661977652041,True,False,False
EMP/Yeast_H3K9ac,EMP,0.2849559973385209,0.302809436994364,Evo2,fm_evo2_1b_base_MCC,lp_fm_evo2_1b_base_MCC,-0.01785343965584313,False,True,False
EMP/Yeast_H4,EMP,0.4060699876478689,0.3633333678838686,Evo2,fm_evo2_1b_base_MCC,lp_fm_evo2_1b_base_MCC,0.04273661976400028,True,False,False
EMP/Yeast_H4ac,EMP,0.1696739277828994,0.2006769817559852,Evo2,fm_evo2_1b_base_MCC,lp_fm_evo2_1b_base_MCC,-0.03100305397308581,False,True,False
deep4mc/A.thaliana_4mC,deep4mc,0.0284596332830533,0.0456400475021798,Evo2,fm_evo2_1b_base_MCC,lp_fm_evo2_1b_base_MCC,-0.0171804142191265,False,True,False
deep4mc/C.elegans_4mC,deep4mc,0.0877503062077844,0.1083815516317886,Evo2,fm_evo2_1b_base_MCC,lp_fm_evo2_1b_base_MCC,-0.0206312454240042,False,True,False
deep4mc/D.melanogaster_4mC,deep4mc,0.0319729664759675,0.0517931735499416,Evo2,fm_evo2_1b_base_MCC,lp_fm_evo2_1b_base_MCC,-0.019820207073974097,False,True,False
deep4mc/E.coli_4mC,deep4mc,0.0073400459285932,0.0,Evo2,fm_evo2_1b_base_MCC,lp_fm_evo2_1b_base_MCC,0.0073400459285932,True,False,False
deep4mc/G.pickeringii_4mC,deep4mc,0.0216747386045058,0.0220253630040796,Evo2,fm_evo2_1b_base_MCC,lp_fm_evo2_1b_base_MCC,-0.0003506243995738019,False,True,False
deep4mc/G.subterraneus_4mC,deep4mc,0.0109577371327056,,Evo2,fm_evo2_1b_base_MCC,lp_fm_evo2_1b_base_MCC,,False,False,False
enhancers/enhancer,enhancers,0.5355425115786407,0.4256442745669518,Evo2,fm_evo2_1b_base_MCC,lp_fm_evo2_1b_base_MCC,0.10989823701168894,True,False,False
enhancers/enhancer_strength,enhancers,0.5046812274821894,0.3193229392711094,Evo2,fm_evo2_1b_base_MCC,lp_fm_evo2_1b_base_MCC,0.18535828821107997,True,False,False
