dataset,group,RF_MCC,LP_MCC,kmer_size,delta_MCC,RF_wins,LP_wins,tie
tf/Human_TFBS_5,tf,0.7116751234762081,0.565224235498005,4,0.14645088797820305,True,False,False
virus/covid_variants,virus,0.65530456624256,0.3308198828712216,4,0.32448468337133834,True,False,False
EMP/Yeast_H3,EMP,0.6318674532287831,0.6648022444126576,5,-0.032934791183874434,False,True,False
EMP/Yeast_H3K14ac,EMP,0.3864247241018781,0.3493836755122649,5,0.03704104858961321,True,False,False
EMP/Yeast_H3K36me3,EMP,0.4437202686165719,0.4183290441750334,5,0.025391224441538462,True,False,False
EMP/Yeast_H3K4me1,EMP,0.3495853630264314,0.3181194015526919,5,0.03146596147373948,True,False,False
EMP/Yeast_H3K4me2,EMP,0.2896240365970529,0.2604079423503116,5,0.029216094246741264,True,False,False
EMP/Yeast_H3K4me3,EMP,0.3223549350506919,0.2305406446709335,5,0.09181429037975841,True,False,False
EMP/Yeast_H3K79me3,EMP,0.5733300037492575,0.5652854091048871,5,0.008044594644370351,True,False,False
EMP/Yeast_H3K9ac,EMP,0.4107064961888284,0.4067914826691573,5,0.003915013519671051,True,False,False
EMP/Yeast_H4,EMP,0.6824589891710412,0.7124657163896908,5,-0.03000672721864961,False,True,False
EMP/Yeast_H4ac,EMP,0.3864459445429409,0.3507484183047079,5,0.035697526238233024,True,False,False
deep4mc/A.thaliana_4mC,deep4mc,0.2021958359642879,0.2275099631944917,5,-0.02531412723020382,False,True,False
deep4mc/C.elegans_4mC,deep4mc,0.238212422449133,0.2763587042510436,5,-0.0381462818019106,False,True,False
deep4mc/D.melanogaster_4mC,deep4mc,0.2372123246116766,0.2754031952001199,5,-0.03819087058844331,False,True,False
deep4mc/E.coli_4mC,deep4mc,0.0,0.0945176234342915,5,-0.0945176234342915,False,True,False
deep4mc/G.pickeringii_4mC,deep4mc,0.0,0.1051699268051705,5,-0.1051699268051705,False,True,False
deep4mc/G.subterraneus_4mC,deep4mc,0.0,0.1385956360817701,5,-0.1385956360817701,False,True,False
enhancers/enhancer,enhancers,0.5208746559314252,0.4459430518499069,5,0.07493160408151833,True,False,False
enhancers/enhancer_strength,enhancers,0.4661662382004545,0.308161693144781,5,0.15800454505567352,True,False,False
genomic_benchmark/coding,genomic_benchmark,0.7159511643016548,0.7900395029627469,5,-0.0740883386610921,False,True,False
genomic_benchmark/enhancer_cohn,genomic_benchmark,0.3960654262495107,0.4563830307915898,5,-0.06031760454207913,False,True,False
genomic_benchmark/enhancer_ensembl,genomic_benchmark,0.6799531158257769,0.565515089999745,5,0.11443802582603191,True,False,False
genomic_benchmark/human_vs_worm,genomic_benchmark,0.8526549413739801,0.9054388852720768,5,-0.05278394389809671,False,True,False
genomic_benchmark/open_chromatin_region,genomic_benchmark,0.34561111052306,0.375226597667758,5,-0.029615487144698027,False,True,False
genomic_benchmark/promoter_notata_251bps,genomic_benchmark,0.7835145339749172,0.695092247922713,5,0.08842228605220426,True,False,False
