timestamp,dataset,method,feat_dim,time_sec
2026-04-01T21:56:10.290751,dna_foundation_benchmark/genomic_benchmark/enhancer_ensembl,fm_DNABERT-2-117M,768,279.264984580921
2026-04-01T22:25:49.855420,dna_foundation_benchmark/genomic_benchmark/human_vs_worm,fm_DNABERT-2-117M,768,186.5714235790074
2026-04-01T22:47:58.925430,dna_foundation_benchmark/genomic_benchmark/open_chromatin_region,fm_DNABERT-2-117M,768,336.45442375005223
2026-04-01T23:19:41.294551,dna_foundation_benchmark/genomic_benchmark/promoter_notata_251bps,fm_DNABERT-2-117M,768,37.45899773796555
2026-04-01T23:33:43.596866,dna_foundation_benchmark/genomic_benchmark/regulatory_region_type,fm_DNABERT-2-117M,768,539.7736591759603
2026-04-02T00:07:49.346905,dna_foundation_benchmark/iDHS-EL/DNase_I,fm_DNABERT-2-117M,768,1.0893547779414803
2026-04-02T00:07:57.611965,dna_foundation_benchmark/iDNA_ABF/5mC,fm_DNABERT-2-117M,768,1.6295617910800502
2026-04-02T00:08:37.672081,dna_foundation_benchmark/iDNA_ABF/6mA,fm_DNABERT-2-117M,768,12.572590667987242
2026-04-02T00:13:31.878976,dna_foundation_benchmark/iPro-WAEL/Promoter_Arabidopsis_NonTATA,fm_DNABERT-2-117M,768,12.058281496050768
2026-04-02T00:14:52.978549,dna_foundation_benchmark/iPro-WAEL/Promoter_Arabidopsis_TATA,fm_DNABERT-2-117M,768,4.492241978063248
2026-04-02T00:15:19.257091,dna_foundation_benchmark/iPro-WAEL/Promoter_B_amyloliquefaciens,fm_DNABERT-2-117M,768,0.7749394458951429
2026-04-02T00:17:59.366453,dna_foundation_benchmark/iPro-WAEL/Promoter_GM12878,fm_DNABERT-2-117M,768,148.72195320401806
2026-04-02T00:22:36.010776,dna_foundation_benchmark/iPro-WAEL/Promoter_HUVEC,fm_DNABERT-2-117M,768,149.02737679705024
2026-04-02T00:27:10.307488,dna_foundation_benchmark/iPro-WAEL/Promoter_Hela-S3,fm_DNABERT-2-117M,768,133.53297158598434
2026-04-02T00:30:17.392112,dna_foundation_benchmark/iPro-WAEL/Promoter_NHEK,fm_DNABERT-2-117M,768,46.73693617898971
2026-04-02T00:31:44.175198,dna_foundation_benchmark/iPro-WAEL/Promoter_R_capsulatus,fm_DNABERT-2-117M,768,3.814792732009664
2026-04-02T00:32:58.652293,dna_foundation_benchmark/mouse/mouse_TFBS_1,fm_DNABERT-2-117M,768,4.492091082967818
2026-04-02T00:34:26.886976,dna_foundation_benchmark/mouse/mouse_TFBS_2,fm_DNABERT-2-117M,768,35.49782315001357
2026-04-02T00:43:40.925261,dna_foundation_benchmark/mouse/mouse_TFBS_3,fm_DNABERT-2-117M,768,1.791288929991424
2026-04-02T00:44:00.157729,dna_foundation_benchmark/mouse/mouse_TFBS_4,fm_DNABERT-2-117M,768,1.3153647349681705
2026-04-02T00:44:23.755740,dna_foundation_benchmark/mouse/mouse_TFBS_5,fm_DNABERT-2-117M,768,10.350342656020075
2026-04-02T00:47:55.068344,dna_foundation_benchmark/prom/promoter_all_300bps,fm_DNABERT-2-117M,768,73.21433573402464
2026-04-02T00:56:40.735311,dna_foundation_benchmark/prom/promoter_all_70bps,fm_DNABERT-2-117M,768,26.774946068995632
2026-04-02T01:05:59.963882,dna_foundation_benchmark/prom/promoter_notata_300bps,fm_DNABERT-2-117M,768,65.30098954797722
2026-04-02T01:13:17.940753,dna_foundation_benchmark/prom/promoter_notata_70bps,fm_DNABERT-2-117M,768,23.805734321009368
2026-04-02T01:20:33.501495,dna_foundation_benchmark/prom/promoter_tata_300bps,fm_DNABERT-2-117M,768,7.43317880993709
2026-04-02T01:21:12.661391,dna_foundation_benchmark/prom/promoter_tata_70bps,fm_DNABERT-2-117M,768,2.758862980059348
2026-04-02T01:22:39.091047,dna_foundation_benchmark/splice/acceptors,fm_DNABERT-2-117M,768,50.19664715102408
2026-04-02T01:26:07.216034,dna_foundation_benchmark/splice/donors,fm_DNABERT-2-117M,768,49.50752698699944
2026-04-02T01:29:54.364942,dna_foundation_benchmark/splice/splice_site_type_DNABERT,fm_DNABERT-2-117M,768,69.10230984399095
2026-04-02T01:36:04.440305,dna_foundation_benchmark/splice/splice_site_type_NT,fm_DNABERT-2-117M,768,45.371049894951284
2026-04-02T01:40:17.855757,dna_foundation_benchmark/tf/Human_TFBS_1,fm_DNABERT-2-117M,768,18.71632423007395
2026-04-02T01:44:51.961339,dna_foundation_benchmark/tf/Human_TFBS_2,fm_DNABERT-2-117M,768,17.7987975589931
