k-size,N,RF μ,LP μ,Δ μ,Δ median,RF Wins,LP Wins,p-value (t-test)
4,57,0.51699661756651,0.4804814508696553,0.036515166696854784,0.009749208977918478,40,17,0.0036355347950102848
5,57,0.5190283259084287,0.5098484391868048,0.009179886721623965,-0.01124906971825057,25,32,0.3721021212923375
6,57,0.4998739939409003,0.5249730065139022,-0.025099012573001903,-0.021056467703588932,19,38,0.015259609525745226
