strategy,model,metric,median,mean,std,improvement_pct
RF,Caduceus,MCC,-0.012967651532313107,-0.04232655009296027,0.11487142645298799,43.85964912280702
RF,Caduceus,AUROC,-0.017750660087220593,-0.036717904389874184,0.05960916718880916,31.57894736842105
RF,Evo2 (1B),MCC,-0.277021856673057,-0.2655909402844591,0.15174511238641084,7.017543859649122
RF,Evo2 (1B),AUROC,-0.153422070152191,-0.16951876641732183,0.0800894237529239,0.0
LP,NTv3 (650M),MCC,0.026880555155827324,0.03928493684914534,0.10772084435355615,68.42105263157895
LP,NTv3 (650M),AUROC,0.01286986902455578,0.020542954751220144,0.05173613846739531,66.66666666666667
LP,HyenaDNA,MCC,0.008942138400552913,0.010680902510159436,0.10277684181381759,59.64912280701754
LP,HyenaDNA,AUROC,0.008270503863781586,0.008065314150655131,0.05651324089167213,64.91228070175438
LP,DNABERT-2,MCC,-0.1414583040387055,-0.14578698287903402,0.07618916050626307,0.0
LP,DNABERT-2,AUROC,-0.06979109652260507,-0.07938437016188148,0.04770547581438223,0.0
