Model,N,RF μ,RF σ,LP μ,LP σ,Δ μ,Δ median,RF Wins,LP Wins,p-value (t-test)
NTv3,57,0.5617078372923112,0.22601380298275464,0.5702590320075259,0.2146809426504328,-0.008551194715214731,-0.005467810637363013,26,31,0.19864320746694214
HyenaDNA,57,0.44828973090952623,0.2233154164259919,0.54165499766854,0.20738638811686508,-0.09336526675901376,-0.08175360858231895,7,50,2.901139761210823e-08
DNABERT-2,57,0.42655707229757706,0.2277695144238948,0.4280915046295463,0.2367118214469201,-0.001534432331969293,-0.008189916538409892,21,36,0.8262294745575208
Caduceus,57,0.4926718832289606,0.238118354369587,0.5160726127439818,0.2237514171818159,-0.023400729515021174,-0.02311632625021648,14,43,0.06788857314865421
Evo2,56,0.2740226672500467,0.20718323259211419,0.24748040568938173,0.19780007942532832,0.026542261560664925,0.006293184721803947,32,24,0.013869272303505152
