dataset,kmer_k4_MCC,kmer_k4_AUROC,kmer_k4_F1,kmer_k4_Accuracy,kmer_k5_MCC,kmer_k5_AUROC,kmer_k5_F1,kmer_k5_Accuracy,kmer_k6_MCC,kmer_k6_AUROC,kmer_k6_F1,kmer_k6_Accuracy,kmer_k4_R2,kmer_k4_MSE,kmer_k4_Spearman,kmer_k5_R2,kmer_k5_MSE,kmer_k5_Spearman,kmer_k6_R2,kmer_k6_MSE,kmer_k6_Spearman,fm_NTv3_650M_pre_R2,fm_NTv3_650M_pre_MSE,fm_NTv3_650M_pre_Spearman,fm_hyenadna-large-1m-seqlen-hf_R2,fm_hyenadna-large-1m-seqlen-hf_MSE,fm_hyenadna-large-1m-seqlen-hf_Spearman,fm_DNABERT-2-117M_R2,fm_DNABERT-2-117M_MSE,fm_DNABERT-2-117M_Spearman,fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_R2,fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_MSE,fm_caduceus-ph_seqlen-131k_d_model-256_n_layer-16_Spearman
variant_effect_pathogenic_clinvar,0.1331006000774654,0.6087811603064137,0.4649938604973301,0.5766208251473477,0.0692624084045216,0.5883042484334656,0.4045926657925895,0.5569744597249509,0.033074952961357,0.5767300030765995,0.362293799976253,0.5491159135559921,,,,,,,,,,,,,,,,,,,,,
bulk_rna_expression,,,,,,,,,,,,,0.4118730366238696,0.4177023362646828,0.6988070241767744,0.395546774614109,0.4292976519169342,0.693612713389217,0.3674011759892125,0.4492873531775251,0.6731612494720867,0.4635643988638041,0.3809898504973605,0.7345286581253084,0.385826536594207,0.4362012057119422,0.674537532395479,0.1927151709946286,0.5733536805911121,0.4810194128463274,,,
cage_prediction,,,,,,,,,,,,,0.5695896001312202,0.0572903521434057,0.8148225945342624,0.5725024539512397,0.0569026328384306,0.8163151504379111,0.5485844086747307,0.0600862762561799,0.8073148878662532,0.5175884424516854,0.0642120358114434,0.7575676965058572,0.5670703350305224,0.0576256822952923,0.7914485223363344,0.399755260780804,0.0798963791130011,0.6994854371780079,0.4845645738196761,0.06818129444428175,0.7464445824445826
