dataset,metric_select,kmer_choice,kmer_col,fm_model,fm_col,feat_dim_fm,feat_dim_kmer,MCC,AUROC,F1,Accuracy
dna_foundation_benchmark/EMP/Yeast_H3,MCC,k=6,kmer_k6_MCC,InstaDeepAI/NTv3_650M_pre,fm_NTv3_650M_pre_MCC,1536,4096,0.7508317870891421,0.9434611872146118,0.8754106322422339,0.8755011135857461
dna_foundation_benchmark/EMP/Yeast_H3K14ac,MCC,k=6,kmer_k6_MCC,InstaDeepAI/NTv3_650M_pre,fm_NTv3_650M_pre_MCC,1536,4096,0.5076730384722699,0.8274232297879566,0.7537306067835436,0.7575390821986888
dna_foundation_benchmark/EMP/Yeast_H3K36me3,MCC,k=6,kmer_k6_MCC,InstaDeepAI/NTv3_650M_pre,fm_NTv3_650M_pre_MCC,1536,4096,0.5429433300275434,0.850649606192061,0.7697375115083249,0.7736263736263737
dna_foundation_benchmark/EMP/Yeast_H3K4me1,MCC,k=6,kmer_k6_MCC,InstaDeepAI/NTv3_650M_pre,fm_NTv3_650M_pre_MCC,1536,4096,0.4511572346534214,0.7909089163830144,0.7243153950027851,0.7290614478114478
dna_foundation_benchmark/EMP/Yeast_H3K4me2,MCC,k=6,kmer_k6_MCC,InstaDeepAI/NTv3_650M_pre,fm_NTv3_650M_pre_MCC,1536,4096,0.33176580408624334,0.7423382416758748,0.6463595609361673,0.6869092884302009
dna_foundation_benchmark/EMP/Yeast_H3K4me3,MCC,k=6,kmer_k6_MCC,InstaDeepAI/NTv3_650M_pre,fm_NTv3_650M_pre_MCC,1536,4096,0.36394406946993874,0.7495038163875578,0.6807983467097516,0.6844202898550724
