dataset,n_train,n_test,n_classes,entropy_k4,perplexity_k4,mi_k4_mean,mi_k4_median,jsd_k4,entropy_k5,perplexity_k5,mi_k5_mean,mi_k5_median,jsd_k5,entropy_k6,perplexity_k6,mi_k6_mean,mi_k6_median,jsd_k6,mi_fm_NTv3_650M_pre_mean,mi_fm_NTv3_650M_pre_median,mi_fm_hyenadna-medium-160k-seqlen-hf_mean,mi_fm_hyenadna-medium-160k-seqlen-hf_median,mi_fm_DNABERT-2-117M_mean,mi_fm_DNABERT-2-117M_median
EMP/Yeast_H3,10475,4490,2,7.304792404174805,158.11083984375,0.010906963809781591,0.007235639418311179,0.010465364903211594,8.300901412963867,315.3699645996094,0.005564857460606128,0.0030109884303430867,0.013876693323254585,8.730794906616211,424.84564208984375,0.0037260326092834507,0.0011469171923947918,0.01821245439350605,0.05606736633368616,0.049209865528437424,0.055982854469721954,0.049463302321176905,0.008796075152235251,0.00586385690056479
EMP/Yeast_H3K14ac,23133,9915,2,7.308696746826172,158.539306640625,0.0037441428347254734,0.0014248385451307577,0.0012786037987098098,8.309266090393066,317.2037658691406,0.0028895654816119562,0.00039717883497936146,0.002215918619185686,8.739041328430176,427.281005859375,0.0028789873443921077,0.00014037430761315584,0.004026917740702629,0.028580390937525246,0.024298762209802316,0.028493065067985004,0.024202707271920865,0.002769179207491958,0.0018285103552916349
EMP/Yeast_H3K36me3,24415,10465,2,7.304200172424316,158.0459442138672,0.0044329857472354284,0.0022205142424051028,0.0021243025548756123,8.30459213256836,316.1777648925781,0.003508634732063812,0.0011528263754781998,0.0034341251011937857,8.735389709472656,426.20086669921875,0.0031593195616025165,0.0005373917383058036,0.005633830092847347,0.05884696953250947,0.05364034794415529,0.05883474047724659,0.053166486803459256,0.005777663738121246,0.004610720315234018
EMP/Yeast_H3K4me1,22173,9504,2,7.306312561035156,158.27752685546875,0.0037688996874555257,0.0004675054557032876,0.0013242349959909916,8.307053565979004,316.7176818847656,0.0031489626497004457,0.0006477415714295498,0.002168054459616542,8.737798690795898,426.9131164550781,0.002926867617852262,0.0004005264375595008,0.0038087840657681227,0.02852704474213953,0.02456148347025211,0.02856094659643749,0.024421594729649554,0.0031874988438390893,0.0023916983096246014
EMP/Yeast_H3K4me2,21478,9205,2,7.3049750328063965,158.13084411621094,0.0043471859979446505,0.0019652480055241117,0.001979541964828968,8.30592155456543,316.4692687988281,0.0032776768513563667,0.0010250586240195814,0.0027401200495660305,8.73744010925293,426.8070373535156,0.002881748190555227,0.00038906350232059683,0.00432959757745266,0.004557684539544782,0.004002145325606166,0.004557684539544782,0.004002145325606166,0.0020498018982286217,0.0009088676132195106
EMP/Yeast_H3K4me3,25759,11040,2,7.307374954223633,158.3941192626953,0.0034145601670095265,0.0013453450091156505,0.0006890709046274424,8.307360649108887,316.78509521484375,0.0031959776275358046,0.0010030353053873675,0.0012294286862015724,8.737290382385254,426.7627258300781,0.002896193726534136,7.892582615376398e-05,0.0025941624771803617,0.007100833801632738,0.006155135444760318,0.007100833801632738,0.006155135444760318,0.0016465533995376838,0.0005905183839910455
EMP/Yeast_H3K79me3,20185,8652,2,7.300765037536621,157.67007446289062,0.005670593553254698,0.0034742305358058667,0.0036175858695060015,8.302700996398926,315.7635803222656,0.003816430236896594,0.0010575719430722108,0.005643321201205254,8.735027313232422,426.09381103515625,0.0030745791138187028,0.0002678977873981081,0.0086048049852252,0.0691659600263289,0.0610965259567503,0.0691659600263289,0.0610965259567503,0.006489487556304064,0.0045199028720908085
EMP/Yeast_H3K9ac,19447,8335,2,7.3097147941589355,158.65121459960938,0.0047507037716859055,0.0025094814506506635,0.003236912190914154,8.309361457824707,317.2247314453125,0.0035668268999869777,0.0012512887375105697,0.004570299759507179,8.73888874053955,427.2358093261719,0.0030223831774325582,0.0005038464102935514,0.006785206496715546,0.012082865957248385,0.010345659886875302,0.012082865957248385,0.010345659886875302,0.003021239796007359,0.0019972816140765293
EMP/Yeast_H4,10220,4381,2,7.2884111404418945,156.32569885253906,0.007936267895690165,0.004663958737572749,0.007860304787755013,8.286406517028809,312.2172546386719,0.004994513175639621,0.0023143622568935207,0.01153548527508974,8.721366882324219,422.07830810546875,0.003438660267724807,0.0008006547092997973,0.0162565466016531,0.11676318343672827,0.10152996517075674,0.11676318343672827,0.10152996517075674,0.011666085903077708,0.007971778202416124
EMP/Yeast_H4ac,23866,10229,2,7.306620121002197,158.31126403808594,0.003973251725196944,0.0011045844941997007,0.001752318348735571,8.307135581970215,316.7356872558594,0.003224364509302119,0.0007842639391321127,0.0026394501328468323,8.737654685974121,426.8705139160156,0.002856212599614825,6.687902298729842e-05,0.0043775709345936775,0.010421365893787978,0.0092168661460309,0.010421365893787978,0.0092168661460309,0.002279677484385889,0.001503609493537561
