dataset,method,params_M,GFLOPS_per_seq,GFLOPS_total,AUROC,emissions_kg_CO2,energy_kWh,duration_sec,n_sequences,seq_len_mean
prom/promoter_all_300bps,fm_NTv3_650M_pre,651.83,2.748292,162687.9095,0.962441,0.02745501,0.08301637,1486.157,59196,300.0
prom/promoter_all_70bps,fm_NTv3_650M_pre,651.83,0.91595,54220.5744,0.879477,0.02497929,0.07553049,1474.5922,59196,70.0
prom/promoter_notata_300bps,fm_NTv3_650M_pre,651.83,2.748292,145840.8779,0.988711,0.02402488,0.07264462,1332.0047,53066,300.0
prom/promoter_notata_70bps,fm_NTv3_650M_pre,651.83,0.91595,48605.8011,0.900621,0.02326467,0.07034594,1325.5657,53066,70.0
prom/promoter_tata_300bps,fm_NTv3_650M_pre,651.83,2.748292,16847.0316,0.83973,0.00276855,0.00837132,153.9731,6130,300.0
prom/promoter_tata_70bps,fm_NTv3_650M_pre,651.83,0.91595,5614.7733,0.810897,0.00273583,0.00827239,154.0181,6130,70.0
splice/acceptors,fm_NTv3_650M_pre,651.83,4.581224,101606.9761,0.938895,0.01051082,0.03178182,562.5174,22179,600.0
splice/donors,fm_NTv3_650M_pre,651.83,4.581224,100663.2439,0.940866,0.01054805,0.0318944,556.8538,21973,600.0
splice/splice_site_type_DNABERT,fm_NTv3_650M_pre,651.83,3.664685,167182.912,0.864591,0.02106986,0.06370944,1153.549,45620,400.0
splice/splice_site_type_NT,fm_NTv3_650M_pre,651.83,3.664685,109940.5384,0.85165,0.01391572,0.04207731,780.2337,30000,400.0
tf/Human_TFBS_1,fm_NTv3_650M_pre,651.83,0.91595,31488.528,0.872794,0.01545771,0.04673987,858.3422,34378,101.0
tf/Human_TFBS_2,fm_NTv3_650M_pre,651.83,0.91595,29925.9174,0.859817,0.01584206,0.04790202,813.3466,32672,101.0
tf/Human_TFBS_3,fm_NTv3_650M_pre,651.83,0.91595,19234.9493,0.832012,0.00934353,0.02825226,530.4725,21000,101.0
tf/Human_TFBS_4,fm_NTv3_650M_pre,651.83,0.91595,26831.8384,0.757873,0.01284459,0.03883851,731.2948,29294,101.0
tf/Human_TFBS_5,fm_NTv3_650M_pre,651.83,0.91595,19234.9493,0.929132,0.00917571,0.02774481,525.0555,21000,101.0
